1.08	2	4	68.6	6693.3	7228.8
0.31	3	2	61.9	3159	979.3
0.31	5	4	62.1	1755	544.1
0.32	3	2	60.8	3159	1010.9
0.33	1	1	60.8	4758.8	1570.4
0.33	4	2	61.5	2895.8	955.6
0.35	3	4	62.5	2457	860
0.35	3	4	62.3	2457	860
0.37	3	2	61.4	3402	1258.7
0.38	1	1	60	5062.5	1923.8
0.38	2	3	61.5	3496.5	1328.7
0.38	3	1	61.8	4252.5	1616
0.39	1	2	61.7	4158	1621.6
0.39	1	4	61.7	2983.5	1163.6
0.39	3	1	61.3	3969	1547.9
0.39	3	2	61.1	3422.3	1334.7
0.4	1	3	59.7	3422.3	1368.9
0.4	1	3	59.6	3422.3	1368.9
0.4	2	4	62.2	2937.6	1175
0.4	3	3	60.8	2983.5	1193.4
0.4	3	3	61.7	3121.2	1248.5
0.4	4	2	61.7	3213	1285.2
0.41	2	1	61.5	4039.2	1656.1
0.41	2	2	60.2	3597.8	1475.1
0.41	3	4	61.7	2713.5	1112.5
0.41	3	5	61.5	2351.7	964.2
0.41	4	1	61.1	3685.5	1511.1
0.42	1	3	62.8	3422.3	1437.4
0.42	2	2	59.7	3874.5	1627.3
0.43	4	2	61.8	3307.5	1422.2
0.43	4	6	61.2	1984.5	853.3
0.44	4	4	62.5	2332.8	1026.4
0.46	1	3	59.7	4036.5	1856.8
0.46	2	4	61.8	3591	1651.9
0.46	2	4	62	3334.5	1533.9
0.46	2	4	62.4	3334.5	1533.9
0.46	2	4	61.8	3334.5	1533.9
0.46	3	6	62	2268	1043.3
0.47	1	1	62.4	6048	2842.6
0.47	1	4	62.5	3780	1776.6
0.47	3	5	61.1	2740.5	1288
0.48	2	3	60.3	3969	1905.1
0.51	1	3	60.1	5197.5	2650.7
0.51	1	4	61.4	4314.6	2200.5
0.51	2	4	60.4	4131	2106.8
0.52	2	3	61.5	4681.8	2434.5
0.53	2	4	62	4131	2189.4
0.53	3	3	61.4	4536	2404.1
0.54	1	3	61.7	5197.5	2806.7
0.54	2	3	61	4681.8	2528.2
0.54	3	4	61.7	4252.5	2296.4
0.55	2	4	61.5	4556.3	2505.9
0.55	2	5	61	3798.9	2089.4
0.55	3	3	62.2	4860	2673
0.55	4	2	61.2	4036.5	2220.1
0.57	1	4	61.2	4758.8	2712.5
0.58	2	5	61.8	3969	2302
0.58	3	5	61.5	3437.1	1993.5
0.58	4	5	61.2	3213	1863.5
0.59	2	4	61.7	4556.3	2688.2
0.59	2	5	61.9	3969	2341.7
0.59	2	5	62	4082.4	2408.6
0.59	4	3	61.9	3773.3	2226.2
0.6	1	1	60.6	7695	4617
0.6	1	5	61.6	4063.5	2438.1
0.6	2	4	61	3948.8	2369.3
0.6	2	6	63	3307.5	1984.5
0.6	2	8	61.4	1782	1069.2
0.6	3	5	61.6	3693.6	2216.2
0.6	7	6	60.4	1890	1134
0.61	1	5	62	4063.5	2478.7
0.61	2	4	59.7	3948.8	2408.7
0.61	2	5	60	3969	2421.1
0.61	2	5	61.4	3969	2421.1
0.62	2	4	62.2	3948.8	2448.2
